linea,ramal,estacion,latitud,longitud
Mitre,Zarate,"KILOMETRO 83",-34.160627,-58.978608
Mitre,Zarate,"J.L. SUÁREZ",-34.534112,-58.576623
Mitre,Zarate,ESCOBAR,-34.349423,-58.795357
Mitre,Zarate,CAMPANA,-34.156582,-58.961003
Mitre,Zarate,BENAVIDEZ,-34.409170,-58.684761
Mitre,Zarate,BANCALARI,-34.479665,-58.602929
Mitre,Tigre,VIRREYES,-34.450682,-58.550700
Mitre,Tigre,VICTORIA,-34.456153,-58.541128
Mitre,Tigre,"VICENTE LÓPEZ",-34.524723,-58.472806
Mitre,Tigre,TIGRE,-34.423567,-58.581728
Mitre,Tigre,"SAN ISIDRO C",-34.472207,-58.513383
Mitre,Tigre,"SAN FERNANDO C",-34.444338,-58.558740
Mitre,Tigre,RIVADAVIA,-34.536520,-58.468032
Mitre,Tigre,RETIRO,-34.590703,-58.374880
Mitre,Tigre,OLIVOS,-34.507713,-58.480663
Mitre,Tigre,NUÑEZ,-34.547833,-58.463149
Mitre,Tigre,MARTÍNEZ,-34.488534,-58.496580
Mitre,Tigre,"LA LUCILA",-34.497597,-58.488446
Mitre,Tigre,"L. DE LA TORRE",-34.562529,-58.436711
Mitre,Tigre,CARUPÁ,-34.436917,-58.568231
Mitre,Tigre,"BELGRANO C",-34.558801,-58.448944
Mitre,Tigre,BÉCCAR,-34.460804,-58.526543
Mitre,Tigre,ACASSUSO,-34.480068,-58.503838
Mitre,Suárez,"VILLA BALLESTER",-34.551161,-58.555826
Mitre,Suárez,"SAN MARTÍN",-34.573419,-58.531957
Mitre,Suárez,"SAN ANDRÉS",-34.563564,-58.540660
Mitre,Suárez,RETIRO,-34.590703,-58.374880
Mitre,Suárez,PUEYRREDÓN,-34.580496,-58.501898
Mitre,Suárez,"MINISTRO CARRANZA",-34.575273,-58.433744
Mitre,Suárez,MIGUELETE,-34.581071,-58.517079
Mitre,Suárez,MALAVER,-34.557372,-58.547932
Mitre,Suárez,L.M.DRAGO,-34.568417,-58.478991
Mitre,Suárez,"J.L. SUÁREZ",-34.534848,-58.575847
Mitre,Suárez,"GENERAL URQUIZA",-34.574712,-58.487839
Mitre,Suárez,COLEGIALES,-34.572974,-58.448253
Mitre,Suárez,CHILAVERT,-34.542232,-58.566917
Mitre,Suárez,"BELGRANO R",-34.568050,-58.461808
Mitre,Suárez,"3 DE FEBRERO",-34.571748,-58.424982
Mitre,Mitre,SAAVEDRA,-34.554073,-58.487063
Mitre,Mitre,RETIRO,-34.590703,-58.374880
Mitre,Mitre,MITRE,-34.515027,-58.489236
Mitre,Mitre,"MINISTRO CARRANZA",-34.575273,-58.433744
Mitre,Mitre,"JUAN B. JUSTO",-34.542550,-58.494657
Mitre,Mitre,FLORIDA,-34.530474,-58.494456
Mitre,Mitre,"DR. CETRÁNGOLO",-34.523088,-58.49413
Mitre,Mitre,COLEGIALES,-34.572974,-58.448253
Mitre,Mitre,COGHLAN,-34.565260,-58.475348
Mitre,Mitre,"BELGRANO R",-34.568050,-58.461808
Mitre,Mitre,"3 DE FEBRERO",-34.571748,-58.424982
Mitre,"Capilla del Señor",ZELAYA,-34.370187,-58.869156
Mitre,"Capilla del Señor",VICTORIA,-34.456491,-58.540489
Mitre,"Capilla del Señor",MATHEU,-34.382860,-58.829650
Mitre,"Capilla del Señor","MAQ. SAVIO",-34.406913,-58.771933
Mitre,"Capilla del Señor","LOS CARDALES",-34.330977,-58.987203
Mitre,"Capilla del Señor","LOPEZ CAMELO",-34.447179,-58.676828
Mitre,"Capilla del Señor",GARIN,-34.421623,-58.736540
Mitre,"Capilla del Señor","EL TALAR",-34.462964,-58.645619
Mitre,"Capilla del Señor","DR. A. SCHWEITZER",-34.471097,-58.572383
Mitre,"Capilla del Señor","CAPILLA DEL SEÑOR",-34.287138,-59.101585
"Larga Distancia",Tucumán,ZARATE,-34.097911,-59.037755
"Larga Distancia",Tucumán,TUCUMÁN,-26.819074,-65.210717
"Larga Distancia",Tucumán,"SAN PEDRO",-33.694564,-59.682631
"Larga Distancia",Tucumán,"SAN NICOLAS",-33.344348,-60.226263
"Larga Distancia",Tucumán,"ROSARIO SUR",-33.009311,-60.650274
"Larga Distancia",Tucumán,"ROSARIO NORTE",-32.930553,-60.657347
"Larga Distancia",Tucumán,RETIRO,-34.591178,-58.375857
"Larga Distancia",Tucumán,RAMALLO,-33.501877,-60.067829
"Larga Distancia",Tucumán,RAFAELA,-31.249187,-61.476577
"Larga Distancia",Tucumán,PINTO,-29.143580,-62.657824
"Larga Distancia",Tucumán,"LA BANDA",-27.732755,-64.239517
"Larga Distancia",Tucumán,GÁLVEZ,-32.033331,-61.222762
"Larga Distancia",Tucumán,"COLONIA DORA",-28.604172,-62.951999
"Larga Distancia",Tucumán,CERES,-29.88208,-61.946638
"Larga Distancia",Tucumán,CAMPANA,-34.156759,-58.958356
"Larga Distancia","Rosario Norte",ZARATE,-34.097758,-59.037871
"Larga Distancia","Rosario Norte","SAN PEDRO",-33.694459,-59.682807
"Larga Distancia","Rosario Norte","SAN NICOLAS",-33.344233,-60.226428
"Larga Distancia","Rosario Norte","ROSARIO SUR",-33.009153,-60.650379
"Larga Distancia","Rosario Norte","ROSARIO NORTE",-32.929965,-60.657781
"Larga Distancia","Rosario Norte",RETIRO,-34.591178,-58.375857
"Larga Distancia","Rosario Norte",RAMALLO,-33.501759,-60.067993
"Larga Distancia","Rosario Norte","EMPALME VILLA CONSTITUCION",-33.260488,-60.383433
"Larga Distancia","Rosario Norte",CAMPANA,-34.156744,-58.958572
"Larga Distancia","Mar del Plata",VIVORATA,-37.671167,-57.667246
"Larga Distancia","Mar del Plata",TEMPERLEY,-34.775924,-58.396357
"Larga Distancia","Mar del Plata",SEVIGNE,-36.205769,-57.740589
"Larga Distancia","Mar del Plata",PARRAVACINI,-36.460516,-57.759720
"Larga Distancia","Mar del Plata",MONASTERIO,-35.764797,-57.922746
"Larga Distancia","Mar del Plata","MAR DEL PLATA",-37.987507,-57.566627
"Larga Distancia","Mar del Plata",MAIPÚ,-36.865860,-57.890414
"Larga Distancia","Mar del Plata",LEZAMA,-35.875867,-57.894313
"Larga Distancia","Mar del Plata","LAS ARMAS",-37.091918,-57.831039
"Larga Distancia","Mar del Plata",JEPPENER,-35.278365,-58.198035
"Larga Distancia","Mar del Plata",GUERRERO,-35.973219,-57.849446
"Larga Distancia","Mar del Plata","GRAL PIRAN",-37.282462,-57.777233
"Larga Distancia","Mar del Plata","GRAL GUIDO",-36.659681,-57.791615
"Larga Distancia","Mar del Plata",GANDARA,-35.450899,-58.093010
"Larga Distancia","Mar del Plata",DOOMSELAR,-35.070579,-58.290181
"Larga Distancia","Mar del Plata",DOLORES,-36.305645,-57.688487
"Larga Distancia","Mar del Plata",CONSTITUCIÓN,-34.630170,-58.380583
"Larga Distancia","Mar del Plata",COBO,-37.808713,-57.628176
"Larga Distancia","Mar del Plata","CNEL VIDAL",-37.460932,-57.726724
"Larga Distancia","Mar del Plata","CNEL BRANDSEN",-35.168719,-58.231462
"Larga Distancia","Mar del Plata",CHASCOMUS,-35.580511,-57.981458
"Larga Distancia","Mar del Plata",CASTELLI,-36.095508,-57.808929
"Larga Distancia","Mar del Plata",CAMET,-37.897672,-57.602821
"Larga Distancia","Mar del Plata",ALTAMIRANO,-35.362120,-58.150592
"Larga Distancia","Mar del Plata","ALEJANDRO KORN",-34.981487,-58.373694
"Larga Distancia","Mar del Plata",ADELA,-35.685520,-57.954189
"Larga Distancia","Larga Distancia",VEDIA,-34.488786,-61.538430
"Larga Distancia","Larga Distancia",TORNQUIST,-38.101881,-62.229299
"Larga Distancia","Larga Distancia",SAAVEDRA,-37.763817,-62.351680
"Larga Distancia","Larga Distancia",RUFINO,-34.260532,-62.710772
"Larga Distancia","Larga Distancia",RETIRO,-34.589130,-58.373620
"Larga Distancia","Larga Distancia",RAWSON,-34.610460,-60.067463
"Larga Distancia","Larga Distancia",PIGUÉ,-37.601132,-62.411445
"Larga Distancia","Larga Distancia",OLAVARRÍA,-36.898180,-60.316576
"Larga Distancia","Larga Distancia",MONTE,-35.436653,-58.817665
"Larga Distancia","Larga Distancia","MERCEDES C",-34.656678,-59.444000
"Larga Distancia","Larga Distancia","LAS FLORES",-36.025894,-59.097046
"Larga Distancia","Larga Distancia",JUNÍN,-34.584193,-60.949734
"Larga Distancia","Larga Distancia","GRAL LAMADRID",-37.250640,-61.258268
"Larga Distancia","Larga Distancia",FRANKLIN,-34.610146,-59.630018
"Larga Distancia","Larga Distancia","CORONEL SUÁREZ",-37.460659,-61.931935
"Larga Distancia","Larga Distancia",CONSTITUCIÓN,-34.630170,-58.380583
"Larga Distancia","Larga Distancia",CHACABUCO,-34.629698,-60.470114
"Larga Distancia","Larga Distancia",CASTILLA,-34.610437,-59.897433
"Larga Distancia","Larga Distancia",CABRED,-34.487728,-59.075473
"Larga Distancia","Larga Distancia","BAHÍA BLANCA",-38.723200,-62.254453
"Larga Distancia","Larga Distancia",AZUL,-36.785861,-59.852828
"Larga Distancia","Larga Distancia",ALBERDI,-34.436785,-61.811910
"Larga Distancia","Gral. Pico",VACCAREZZA,-35.034586,-60.277388
"Larga Distancia","Gral. Pico","TRENQUE LAUQUEN",-35.967386,-62.737225
"Larga Distancia","Gral. Pico",SUIPACHA,-34.773295,-59.690456
"Larga Distancia","Gral. Pico","QUEMU QUEMU",-36.053056,-63.562397
"Larga Distancia","Gral. Pico",PEHUAJO,-35.815583,-61.893882
"Larga Distancia","Gral. Pico",ONCE,-34.608591,-58.407559
"Larga Distancia","Gral. Pico",MERCEDES,-34.657759,-59.432435
"Larga Distancia","Gral. Pico",MECHITA,-35.066170,-60.406708
"Larga Distancia","Gral. Pico",LUJÁN,-34.577755,-59.105294
"Larga Distancia","Gral. Pico","GRAL PICO",-35.661172,-63.750718
"Larga Distancia","Gral. Pico",CHIVILCOY,-34.917260,-59.995964
"Larga Distancia","Gral. Pico",CATRILO,-36.410697,-63.421015
"Larga Distancia","Gral. Pico","CASLOS CASARES",-35.629341,-61.362862
"Larga Distancia","Gral. Pico",BRAGADO,-35.119024,-60.477999
"Larga Distancia","Gral. Pico","9 DE JULIO",-35.454150,-60.876473
"Larga Distancia",Córdoba,ZARATE,-34.097758,-59.037871
"Larga Distancia",Córdoba,"VILLA MARÍA",-32.412590,-63.244737
"Larga Distancia",Córdoba,"SAN PEDRO",-33.694459,-59.682807
"Larga Distancia",Córdoba,"SAN NICOLAS",-33.344233,-60.226428
"Larga Distancia",Córdoba,"ROSARIO SUR",-33.009153,-60.650379
"Larga Distancia",Córdoba,"ROSARIO NORTE",-32.930534,-60.656259
"Larga Distancia",Córdoba,RETIRO,-34.591178,-58.375857
"Larga Distancia",Córdoba,RAMALLO,-33.501759,-60.067993
"Larga Distancia",Córdoba,CORDOBA,-31.420052,-64.175018
"Larga Distancia",Córdoba,"CAÑADA DE GOMEZ",-32.822300,-61.395175
"Larga Distancia",Córdoba,CAMPANA,-34.156744,-58.958572
"Belgrano Sur","Pte Alsina","VILLA FIORITO",-34.705378,-58.440921
"Belgrano Sur","Pte Alsina","VILLA DIAMANTE",-34.681744,-58.428329
"Belgrano Sur","Pte Alsina","VILLA CARAZA",-34.698003,-58.429064
"Belgrano Sur","Pte Alsina","PUENTE ALSINA",-34.661461,-58.414587
"Belgrano Sur","Pte Alsina","LA SALADA",-34.718807,-58.472713
"Belgrano Sur","Pte Alsina","ING. BUDGE",-34.718663,-58.462151
"Belgrano Sur","Pte Alsina","APEADERO KM 12",-34.710058,-58.505926
"Belgrano Sur","Pte Alsina","ALDO BONZI",-34.711196,-58.516022
"Belgrano Sur","M.C.G. Belgrano","VILLA SOLDATI",-34.662201,-58.440897
"Belgrano Sur","M.C.G. Belgrano","VILLA MADERO",-34.684097,-58.492536
"Belgrano Sur","M.C.G. Belgrano","VILLA LUGANO",-34.67713,-58.476969
"Belgrano Sur","M.C.G. Belgrano",TAPIALES,-34.702529,-58.511537
"Belgrano Sur","M.C.G. Belgrano","SANCHEZ DE MENDEVILLE",-34.712446,-58.523873
"Belgrano Sur","M.C.G. Belgrano","RAFAEL CASTILLO",-34.699696,-58.626193
"Belgrano Sur","M.C.G. Belgrano","PRESIDENTE ILLIA",-34.666055,-58.450028
"Belgrano Sur","M.C.G. Belgrano","MERLO GOMEZ",-34.696988,-58.647776
"Belgrano Sur","M.C.G. Belgrano","MARINOS DEL FOURNIER",-34.690177,-58.507629
"Belgrano Sur","M.C.G. Belgrano","MARINOS C. G BELGRANO",-34.708761,-58.730901
"Belgrano Sur","M.C.G. Belgrano",LIBERTAD,-34.692230,-58.685756
"Belgrano Sur","M.C.G. Belgrano","JUSTO VILLEGAS",-34.708965,-58.551939
"Belgrano Sur","M.C.G. Belgrano","JOSÉ INGENIEROS",-34.710762,-58.537256
"Belgrano Sur","M.C.G. Belgrano","ISIDRO CASANOVA",-34.704546,-58.587342
"Belgrano Sur","M.C.G. Belgrano","DR SÁENZ",-34.648338,-58.419355
"Belgrano Sur","M.C.G. Belgrano","ALDO BONZI",-34.710706,-58.514348
"Belgrano Sur","Gonzalez Catán","VILLA SOLDATI",-34.662201,-58.440897
"Belgrano Sur","Gonzalez Catán","VILLA MADERO",-34.684097,-58.492536
"Belgrano Sur","Gonzalez Catán","VILLA LUGANO",-34.67713,-58.476969
"Belgrano Sur","Gonzalez Catán",TAPIALES,-34.702529,-58.511537
"Belgrano Sur","Gonzalez Catán",QUERANDÍ,-34.722368,-58.530727
"Belgrano Sur","Gonzalez Catán","PRESIDENTE ILLIA",-34.666055,-58.450028
"Belgrano Sur","Gonzalez Catán","MARINOS DEL FOURNIER",-34.690177,-58.507629
"Belgrano Sur","Gonzalez Catán","MARÍA EVA DUARTE",-34.755959,-58.600184
"Belgrano Sur","Gonzalez Catán",LAFERRERE,-34.750752,-58.584433
"Belgrano Sur","Gonzalez Catán","INGENIERO CASTELLO",-34.710541,-58.506352
"Belgrano Sur","Gonzalez Catán",INDEPENDENCIA,-34.760798,-58.617341
"Belgrano Sur","Gonzalez Catán","GONZÁLEZ CATÁN",-34.770270,-58.644908
"Belgrano Sur","Gonzalez Catán","DR SÁENZ",-34.648338,-58.419355
"Belgrano Sur","Apeadero Km 12","VILLA FIORITO",-34.705378,-58.440921
"Belgrano Sur","Apeadero Km 12","VILLA DIAMANTE",-34.681744,-58.428329
"Belgrano Sur","Apeadero Km 12","VILLA CARAZA",-34.698003,-58.429064
"Belgrano Sur","Apeadero Km 12","SANCHEZ DE MENDEVILLE",-34.712277,-58.525389
"Belgrano Sur","Apeadero Km 12","RAFAEL CASTILLO",-34.699447,-58.628133
"Belgrano Sur","Apeadero Km 12","PUENTE ALSINA",-34.661461,-58.414587
"Belgrano Sur","Apeadero Km 12","MERLO GOMEZ",-34.696802,-58.649287
"Belgrano Sur","Apeadero Km 12","MARINOS C. G BELGRANO",-34.709270,-58.732051
"Belgrano Sur","Apeadero Km 12",LIBERTAD,-34.692025,-58.687264
"Belgrano Sur","Apeadero Km 12","LA SALADA",-34.718807,-58.472713
"Belgrano Sur","Apeadero Km 12","JUSTO VILLEGAS",-34.708749,-58.553668
"Belgrano Sur","Apeadero Km 12","JOSÉ INGENIEROS",-34.710547,-58.538982
"Belgrano Sur","Apeadero Km 12","ISIDRO CASANOVA",-34.704326,-58.589069
"Belgrano Sur","Apeadero Km 12","ING. BUDGE",-34.718663,-58.462151
"Belgrano Sur","Apeadero Km 12","APEADERO KM 12",-34.710058,-58.505926
"Belgrano Sur","Apeadero Km 12","ALDO BONZI",-34.711115,-58.516020
Urquiza,Lemos,Tropezón,-34.591953,-58.559179
Urquiza,Lemos,"Teniente Agneta",-34.5488,-58.678850
Urquiza,Lemos,"Sargento Cabral",-34.537187,-58.694932
Urquiza,Lemos,"Sargento Barrufaldi",-34.562450,-58.660275
Urquiza,Lemos,"Rubén Darío",-34.587484,-58.631454
Urquiza,Lemos,"Pedro Arata",-34.592420,-58.474807
Urquiza,Lemos,"Pablo Podestá",-34.588320,-58.608154
Urquiza,Lemos,"Martín Coronado",-34.588979,-58.590732
Urquiza,Lemos,Lourdes,-34.593833,-58.546748
Urquiza,Lemos,"Juan B. de La Salle",-34.573531,-58.645364
Urquiza,Lemos,"José María Bosch",-34.590027,-58.571826
Urquiza,Lemos,"José Artigas",-34.590031,-58.466273
Urquiza,Lemos,"Jorge Newbery",-34.587821,-58.621874
Urquiza,Lemos,"General Lemos",-34.532911,-58.700836
Urquiza,Lemos,"Fernández Moreno",-34.595587,-58.535161
Urquiza,Lemos,"Federico Lacroze",-34.586715,-58.455586
Urquiza,Lemos,"El Libertador",-34.594331,-58.502336
Urquiza,Lemos,"Ejército de los Andes",-34.579816,-58.640471
Urquiza,Lemos,"Dr. Francisco Beiró",-34.593146,-58.494176
Urquiza,Lemos,"Coronel F. Lynch",-34.597257,-58.524007
Urquiza,Lemos,"Capitán Lozano",-34.555573,-58.669500
Urquiza,Lemos,"Campo de Mayo",-34.543701,-58.685902
Urquiza,Lemos,"Antonio Devoto",-34.595597,-58.510477
"Tren de la Costa","Tren de la Costa","San Isidro R",-34.465535,-58.507941
"Tren de la Costa","Tren de la Costa","San Fernando R",-34.437536,-58.553991
"Tren de la Costa","Tren de la Costa","Punta Chica",-34.450658,-58.523698
"Tren de la Costa","Tren de la Costa","Marina Nueva",-34.444552,-58.539051
"Tren de la Costa","Tren de la Costa",Maipú,-34.513663,-58.488105
"Tren de la Costa","Tren de la Costa",Libertador,-34.501485,-58.481851
"Tren de la Costa","Tren de la Costa","Las Barrancas",-34.472213,-58.493421
"Tren de la Costa","Tren de la Costa","Juan Anchorena",-34.488931,-58.481222
"Tren de la Costa","Tren de la Costa",Delta,-34.418657,-58.576697
"Tren de la Costa","Tren de la Costa","Canal San Fernando",-34.429911,-58.562921
"Tren de la Costa","Tren de la Costa",Borges,-34.508463,-58.484734
Sarmiento,Moreno,"Villa Luro",-34.636249,-58.502131
Sarmiento,Moreno,"S.A. de Padua",-34.665425,-58.697997
Sarmiento,Moreno,"Ramos Mejía",-34.640384,-58.563947
Sarmiento,Moreno,"Paso del Rey",-34.658266,-58.761941
Sarmiento,Moreno,Once,-34.608591,-58.407559
Sarmiento,Moreno,Morón,-34.648222,-58.619813
Sarmiento,Moreno,Moreno,-34.650443,-58.789597
Sarmiento,Moreno,Merlo,-34.664469,-58.727685
Sarmiento,Moreno,Liniers,-34.638872,-58.526340
Sarmiento,Moreno,Ituzaingó,-34.659650,-58.666387
Sarmiento,Moreno,Haedo,-34.644533,-58.591853
Sarmiento,Moreno,Floresta,-34.632375,-58.480891
Sarmiento,Moreno,Flores,-34.627850,-58.466176
Sarmiento,Moreno,Ciudadela,-34.639922,-58.541122
Sarmiento,Moreno,Castelar,-34.652027,-58.642118
Sarmiento,Moreno,Caballito,-34.619244,-58.443652
Sarmiento,Mercedes,"Univ. Lujan",-34.577424,-59.087407
Sarmiento,Mercedes,"P. Marin",-34.622734,-58.893542
Sarmiento,Mercedes,Olivera,-34.627927,-59.255398
Sarmiento,Mercedes,Moreno,-34.651061,-58.787730
Sarmiento,Mercedes,Mercedes,-34.657493,-59.433666
Sarmiento,Mercedes,Lujan,-34.577686,-59.105092
Sarmiento,Mercedes,"Lezica y Torrezuri",-34.584605,-59.056784
Sarmiento,Mercedes,"Las Malvinas",-34.616072,-58.922084
Sarmiento,Mercedes,"La Reja",-34.639717,-58.828458
Sarmiento,Mercedes,"La Fraternidad",-34.598400,-58.997844
Sarmiento,Mercedes,Jáuregui,-34.600627,-59.173487
Sarmiento,Mercedes,"Gral Rodriguez",-34.608871,-58.952925
Sarmiento,Mercedes,Gowland,-34.647819,-59.352839
Sarmiento,Mercedes,"F. Alvarez",-34.632204,-58.855318
Sarmiento,Lobos,Zapiola,-35.058302,-59.041885
Sarmiento,Lobos,Zamudio,-34.857899,-58.892194
Sarmiento,Lobos,Sperati,-35.002105,-58.999854
Sarmiento,Lobos,Merlo,-34.664797,-58.726143
Sarmiento,Lobos,"Mariano Acosta",-34.724325,-58.792954
Sarmiento,Lobos,"Marcos Paz",-34.783055,-58.836545
Sarmiento,Lobos,Lobos,-35.185336,-59.092792
Sarmiento,Lobos,"Las Heras",-34.927939,-58.944429
Sarmiento,Lobos,"Km 34",-34.680174,-58.760240
Sarmiento,Lobos,Hornos,-34.892302,-58.917861
Sarmiento,Lobos,Ferrari,-34.706078,-58.779432
Sarmiento,Lobos,"Empalme Lobos",-35.151487,-59.090740
"San Martín",Cabred,"William Morris",-34.578464,-58.656579
"San Martín",Cabred,"Villa del Parque",-34.601369,-58.493531
"San Martín",Cabred,"Villa Astolfi",-34.478617,-58.877037
"San Martín",Cabred,"Sol y Verde",-34.503989,-58.797603
"San Martín",Cabred,"Santos Lugares",-34.603674,-58.540752
"San Martín",Cabred,"San Miguel",-34.544448,-58.712733
"San Martín",Cabred,"Saenz Peña",-34.603170,-58.527898
"San Martín",Cabred,Retiro,-34.589130,-58.373620
"San Martín",Cabred,Pilar,-34.468743,-58.907906
"San Martín",Cabred,Palermo,-34.579060,-58.426935
"San Martín",Cabred,Muñiz,-34.551366,-58.703314
"San Martín",Cabred,Manzanares,-34.452245,-59.006754
"San Martín",Cabred,"La Paternal",-34.596837,-58.466719
"San Martín",Cabred,"Jose C Paz",-34.519144,-58.750037
"San Martín",Cabred,Hurlingham,-34.591055,-58.632419
"San Martín",Cabred,"El Palomar",-34.604924,-58.595873
"San Martín",Cabred,Devoto,-34.602661,-58.512648
"San Martín",Cabred,Derqui,-34.490888,-58.838648
"San Martín",Cabred,Chacarita,-34.591961,-58.445329
"San Martín",Cabred,Caseros,-34.604586,-58.564491
"San Martín",Cabred,Cabred,-34.487824,-59.075658
"San Martín",Cabred,"Bella Vista",-34.563738,-58.684776
Roca,"La Plata",Wilde,-34.697589,-58.311193
Roca,"La Plata","Villa Elisa",-34.849586,-58.075185
Roca,"La Plata","Villa Domínico",-34.691535,-58.325349
Roca,"La Plata",Tolosa,-34.890954,-57.968098
Roca,"La Plata",Sarandí,-34.678747,-58.344962
Roca,"La Plata","Santillán y Kosteki",-34.661389,-58.376832
Roca,"La Plata",Ringuelet,-34.881387,-57.996062
Roca,"La Plata",Quilmes,-34.724646,-58.260659
Roca,"La Plata",Plátanos,-34.782335,-58.170759
Roca,"La Plata",Pereyra,-34.836630,-58.094540
Roca,"La Plata","La Plata",-34.903894,-57.950174
Roca,"La Plata",Hudson,-34.791119,-58.155269
Roca,"La Plata",Gonnet,-34.879841,-58.010785
Roca,"La Plata",Ezpeleta,-34.751850,-58.234186
Roca,"La Plata","Don Bosco",-34.703324,-58.296171
Roca,"La Plata",Constitución,-34.628367,-58.380614
Roca,"La Plata","City Bell",-34.865723,-58.042049
Roca,"La Plata",Bernal,-34.709261,-58.280569
Roca,"La Plata",Berazategui,-34.764097,-58.208443
Roca,Haedo,Temperley,-34.774504,-58.396643
Roca,Haedo,Tablada,-34.693070,-58.528020
Roca,Haedo,"Santa Catalina",-34.780420,-58.437337
Roca,Haedo,"San Justo",-34.674193,-58.555356
Roca,Haedo,"P. Turner",-34.733231,-58.474875
Roca,Haedo,"KM 34",-34.743459,-58.465016
Roca,Haedo,"Juan XXIII",-34.771363,-58.444109
Roca,Haedo,"Ingeniero S. Brian",-34.658045,-58.573037
Roca,Haedo,"Hospital Español",-34.786279,-58.407287
Roca,Haedo,Haedo,-34.644965,-58.592215
Roca,Haedo,"Agustín de Elía",-34.709977,-58.505918
Roca,Gutierrez,Zeballos,-34.810967,-58.256831
Roca,Gutierrez,Temperley,-34.775924,-58.396357
Roca,Gutierrez,"Santillán y Kosteki",-34.661389,-58.376832
Roca,Gutierrez,"Santa Sofía",-34.825094,-58.213061
Roca,Gutierrez,"Remedios de Escalada",-34.727092,-58.393661
Roca,Gutierrez,"Rafael Calzada",-34.796673,-58.359172
Roca,Gutierrez,"Lomas de Zamora",-34.761031,-58.397312
Roca,Gutierrez,Lanús,-34.707454,-58.390637
Roca,Gutierrez,"José Mármol",-34.791958,-58.380941
Roca,Gutierrez,"Hipólito Yrigoyen",-34.653642,-58.378887
Roca,Gutierrez,Gutiérrez,-34.833998,-58.185585
Roca,Gutierrez,Gerli,-34.685728,-58.382637
Roca,Gutierrez,"Florencio Varela",-34.811115,-58.274049
Roca,Gutierrez,"Dante Ardigó",-34.808935,-58.302292
Roca,Gutierrez,Constitución,-34.628367,-58.380614
Roca,Gutierrez,Claypole,-34.80118,-58.338236
Roca,Gutierrez,Bosques,-34.819567,-58.230164
Roca,Gutierrez,Banfield,-34.743610,-58.395424
Roca,Ezeiza,Turdera,-34.795053,-58.407878
Roca,Ezeiza,Temperley,-34.775924,-58.396357
Roca,Ezeiza,"Santillán y Kosteki",-34.661389,-58.376832
Roca,Ezeiza,"Remedios de Escalada",-34.727092,-58.393661
Roca,Ezeiza,"Monte Grande",-34.814433,-58.469698
Roca,Ezeiza,"Luis Guillón",-34.803217,-58.448550
Roca,Ezeiza,"Lomas de Zamora",-34.761031,-58.397312
Roca,Ezeiza,Llavallol,-34.797070,-58.429155
Roca,Ezeiza,Lanús,-34.707454,-58.390637
Roca,Ezeiza,"Hipólito Yrigoyen",-34.653642,-58.378887
Roca,Ezeiza,Gerli,-34.685728,-58.382637
Roca,Ezeiza,Ezeiza,-34.854084,-58.522815
Roca,Ezeiza,"El Jagüel",-34.833227,-58.496165
Roca,Ezeiza,Constitución,-34.628367,-58.380614
Roca,Ezeiza,Banfield,-34.743610,-58.395424
Roca,Cañuelas,"Vicente Casares",-34.963326,-58.649814
Roca,Cañuelas,"Unión Ferroviaria",-34.871480,-58.545013
Roca,Cañuelas,"Tristán Suárez",-34.890576,-58.569472
Roca,Cañuelas,"Ricardo Levene",-35.022949,-58.725252
Roca,Cañuelas,"Máximo Paz",-34.937899,-58.621947
Roca,Cañuelas,Ezeiza,-34.854084,-58.522815
Roca,Cañuelas,"Carlos Spegazzini",-34.911266,-58.596017
Roca,Cañuelas,Cañuelas,-35.059225,-58.754177
Roca,Cañuelas,"Apeadero Kloosterman",-34.987493,-58.691555
Roca,Cañuelas,"Alejandro Petión",-34.979203,-58.677218
Roca,Bosques,Wilde,-34.697589,-58.311193
Roca,Bosques,"Villa España",-34.774450,-58.194930
Roca,Bosques,"Villa Domínico",-34.691535,-58.325349
Roca,Bosques,Sourigues,-34.806581,-58.212738
Roca,Bosques,Sarandí,-34.678747,-58.344962
Roca,Bosques,"Santillán y Kosteki",-34.661389,-58.376832
Roca,Bosques,Ranelagh,-34.789372,-58.203192
Roca,Bosques,Quilmes,-34.724646,-58.260659
Roca,Bosques,Ezpeleta,-34.751850,-58.234186
Roca,Bosques,"Don Bosco",-34.703324,-58.296171
Roca,Bosques,Constitución,-34.628367,-58.380614
Roca,Bosques,Bosques,-34.819598,-58.230079
Roca,Bosques,Bernal,-34.709261,-58.280569
Roca,Bosques,Berazategui,-34.764097,-58.208443
Roca,"Alejandro Korn",Temperley,-34.775924,-58.396357
Roca,"Alejandro Korn","Santillán y Kosteki",-34.661389,-58.376832
Roca,"Alejandro Korn","Remedios de Escalada",-34.727092,-58.393661
Roca,"Alejandro Korn",Longchamps,-34.859587,-58.387198
Roca,"Alejandro Korn","Lomas de Zamora",-34.761031,-58.397312
Roca,"Alejandro Korn",Lanús,-34.707454,-58.390637
Roca,"Alejandro Korn","Hipólito Yrigoyen",-34.653642,-58.378887
Roca,"Alejandro Korn",Guernica,-34.917915,-58.380560
Roca,"Alejandro Korn",Glew,-34.888650,-58.383702
Roca,"Alejandro Korn",Gerli,-34.685728,-58.382637
Roca,"Alejandro Korn",Constitución,-34.628367,-58.380614
Roca,"Alejandro Korn",Burzaco,-34.825148,-58.391372
Roca,"Alejandro Korn",Banfield,-34.743610,-58.395424
